Pertinence	Question	Reponse
NON	Bonjour à toutes et à tous, Je suis en train de refaire une chambre, et je souhaiterai y mettre un placard avec de planches de mélaminés de 50cm profondeur. Néanmoins, sur un des deux côtés, sur mon mur, j'ai une prise électrique qui commence à 47cm de profondeur. Je m'étais dit que je pouvais faire une sorte de découpe / entaille dans la planche pour éviter la prise, mais cela ne risque-t-il pas de fragiliser la planche lorsqu'il y aura du poids sur les étagères ? Voyez-vous d'autres solutions ? Je vous mets deux photos si cela peut vous aider à visualiser D'avance merci pour vos lumières	"Bonjour, Je suis entrain de poser env. 100m² de parquet stratifié et je fait, comme souvent, mes coupes à la sauteuse. J'ai, à dispo, une circulaire portable, une circulaire sur table et une à onglet, mais la maniabilité de la sauteuse, de pouvoir l'utiliser à une main, fait que je la préfère... Et la précision, après de très nombreuses coupes (stratifié dans un appart, 120m² de lambris,...) ben n'est vraiment pas si mal... Toutefois, là, je rencontre un soucis avec les lames... Elles s'usent à une vitesse... Que se soit des lames métals (très fine dents) ou lame bois avec de fines dents, ça coupe bien les 2-3 premiers mètre, mais ensuite...Tu coupes une 10aines de lames dans sa largeur, ou 2 lames en longueur et tu vois les dents totalement émoussées... Le stratifié est peut être de qualité et très dure, mais de là à flinger les lames aussi vite... Existe-t-il des lames de sauteuse plus ""dure"" que d'autre (style carbure) ? Une marque de qualité ? Merci Même avec les ouvertures EN BAS, un drain reste efficace... http://www.forumconstruire.com/construire/topic-314404_start-30.php#4531384 1"
NON	Bonjours a Tous Voilà mon projet : ma maison est enterré sur un côté et je voudrais creuser une cave de se côté de la maison enterrée sans défoncer le terrain , creuser sous la terre .Comment faire ????????? Si vous avez des idées de la pratique , je suis preneur Merci Cordialement	Si moi, 10 ans chez un fabricant De tous ceux qui n'ont rien à dire, les plus agréables sont ceux qui se taisent (Coluche) 1
NON	Bonjour. Mes vacances au ski étant annulées, je vais pouvoir consacrer ma semaine de congés à mon chantier. Mais quand est-il des fournisseurs de matériaux ? J'ai bien compris que seuls les magasins de première nécessité seraient ouverts, mais pour ce qui est des fournisseurs de matériel pour l'industrie et le BTP, est-ce qu'ils vont fermer aussi ?, mettant au chômage tous les travailleurs ? Est-ce qu'ils sont considérés comme des commerces, ou pas ? BigMat, PointP, Richardson, Rexel, Prolians,... J'imagine que les GSB seront concernées par contre.	"Oui oui, c'est bien ce que je dis personne ne veut respecter le confinement parce que tout le monde à un ""mais moi je..."" à sortir donc personne ne va le respecter parce qu'un france on est toujours plus fort et plus intelligent que les autres, et quand on comptera les morts à la fin, les mêmes viendront critiquer le manque d'action des autres et surtout sans remettre en question ses propre choix ""To do is to be"" - Nietzsche ""To be is to do"" - Kant ""Do be do be do"" - Sinatra 8"
NON	Bonjour, Je possède une vieille ferme en pierre du pays qui a été rénovée (je n'ai pas effectué moi-même la rénovation). A premier étage, c'est toujours le vieux plancher mais en bon état. Tous les ans, dès que les beaux jours reviennent (fin mars, début avril), on sent une odeur de plantes dans certaines pièces. Honnêtement, ça ressemble un peu au cannabis... Inutile de préciser que non, on a pas de plantation Impossible de savoir si ça vient du toit ou du plancher. Dans ces pièces, on a pas accès au toit sans casser le plaffonnage. Au bout d'un mois ou deux, l'odeur disparait totalement jusqu'à l'année suivante. On dirait une floraison... Aucune trace d'humidité, au contraire, les pièces sont fort sèches. Les murs et le sol sont en parfait état. Avez-vous déjà rencontré ce problème ? Doit-on plutôt arracher le plancher ou les tuiles du toit pour trouver la cause ? Est-ce toxique ? On a des souris de temps en temps, mais ça ne pue pas la charogne, ça sent vraiment le végétal. Mais pas pourri. Merci d'avance pour vos conseils.	Bonjour à tous, je suis frappé du même mal que vous. j'habite en Belgique, à la campagne. ma maison est récente, elle a 11 ans. j'ai depuis des années une odeur ressemblant au joint qui apparaît systématiquement au printemps, dure 1 mois puis disparaît. ce qui était assez paradoxale, c'était le côté mobile de l'odeur, ça ne restait pas dans la même pièce et pouvait disparaître en 2 jours. un jour, j'ai entendu du bruit dans ma hotte. j'ai pu voir via la grille d'évacuation que c'était une musaraigne. en Belgique, on met un espace vide(coulisse) entre l'isolant et la brique de façade. j'ai des musaraignes qui se baladent dans la coulisse de ma maison. parfois, je les entends gratter dans les murs. une année, dans mon garage, j'en ai capturé 10 en 8 jours. cette année, la mauvaise odeur est arrivée plus tôt dans l'annexe que je construis. j'ai replacé le piège. BOUM! 4 en 2 jours. 7 au total sur 6 jours. j'ai trouvé la source de l'odeur. la musaraigne qui nidifie pue effroyablement, difficile d'imaginer une si petite bête remplir 125m de l'annexe d'air de puanteur. l'odeur est un peu différente mais c'est très concentré. depuis que j'ai eu ces 7 musaraignes, l'odeur a disparu dans la maison. toutes ont été déposée dans un bois à qq centaines de mètres de chez moi. en été je boucherai avec des morceaux de grillage toutes les aérations de la coulisse. c'est tout petit et ça se faufile. 2
NON	Bonjour, Quelle est la meilleur solution pour traiter un bois de classe 3 avant de monter une cabane en extérieur? Je vais traiter chaque planche avant montage et jentends parler de lasure, d'imprégnant ou encore d'huile de lin ou autre.... Quel produit rendra la cabane le plus durable? Merci bien!	pataya a écrit: Merci pour ta réponse. Le ccmi n'est pas encore signé j'attends leur retour de vacances, il y avait quelques points à valider par leur bureau d'études avant de se lancer dans la construction. ça a été fait juste avant leur départ de vacances et à la rentre le 22 aout on finalise quelque poibnt sur le plan de la maison et ensuite on signe le ccmi. Je voulais juste avoir un ordre d'idée. En fait je connais un très bon carreleur et je sais qu'il m'aurait fait un très bon boulot. Mais si le CCMI m'annonce une moins value de 1000 euyros sa ne vaut pas le coup de le faire soi même. Voila c'est juste pour avoir un ordre di'dée Bonjour, Demandez au cst de mettre le poste carrelage dans les travaux que vous vous réservez. A ce moment là il doit le chiffrer sur le CCMI (avant signature bien sûr). A dater de la signature du CCMI, vous avez 4 mois pour lui demander de reprendre à sa charge ces travaux de carrelage (au prix indiqué bien sûr ) 2
NON	Bonsoir J'ai posé un store banne chez moi, celui ci tient avec 2 platines qui possèdent 4 trou chacune. J'ai fixer les platines sur ma façade en agglo, j'ai percer les trou de 16 MM ensuite j'ai bien dépoussiérer et mis les tamis de 16. Ensuite j'ai injecter la résine et enfoncer les tiges fileté en rotation.j'ai laisser sécher 24 heures et ensuite j'ai commencé à mettre les platines sur les 8 tiges fileté,il y a 7 tiges fileté que j'ai pas pu bloqué en serrant car arriver en fin de serrage la tige tourner.  Et là 8eme tige tourne complètement, même en début de serrage, j'ai du serrer l'ecrou en tenant la tige avec une pince. Qu'en pensez vous ? Pour info j'ai utilisé des écrous frein... Merci d'avance	Pour une pièce humide un BA13 dydro est mieux ... mais à mon avis pas indispensable. pour moi tout dépend du revêtement final que tu veux appliquer sur tes murs. Perso j'ai mis du BA13 hydro sur tous mes murs (mais une partie était destinée à être simplement recouverte de peinture.) j'ai pris une très bonne peinture lessivable et à mon avis ça aurait été également avec du BA13 normal. j'ai fait mes plafonds avec du BA13 normal également. (là aussi recouvert de ma peinture lessivable) je te dirai dans 20 ans si j'ai eu des problèmes ... mais même pas peur le problème de la douche c'est que les murs sont aspergés à grande eau et que cette eau traverse ton revêtement final. là, j'opterais pour du BA13 hydro (bien que j'ai déjà vu plusieurs personnes faire sans et m'expliquer que de toute façon il y à du carrelage qui protège) oui mais le carrelage ne garantit pas l'étanchéité, et les joins non plus ... au pire si tu veux écouler ton BA13 normal, tu peux et tu passes deux couches croisées de SPEC. de toute façon il t'en faudra pour armer tes angles. mais vu le coût du produit tu as aussi vite fait d'aller chercher 3 plaques de BA13 vert. Pour les lavabos, si le mur est carrelé, je pense que tu peut mettre ton BA13 normal. Par précaution tu peux faire tes joints de carrelage avec un produit étanchéifiant (ça ne coute pas très cher). 1
NON	Bonjour tous le monde, je voudrais savoir combien sa pourrait me faire gagner en prix le fait de ne pas faire la pose + achat du carrelage par le CCMI je souhaite le faire moi même. la surface 50m². Merci pour vos aides	Et une deuxieme de couler et de demouler, resultat  super comme la premiere, on peux donc les faire a la chaine sans soucis. . Tous mes amis qui passent a la maison en veulent. 3 2
NON	Bonjour, Je suis en train d'acquérir un bien qui nécessite une rénovation complète. Je compte effectuer par moi l' isolation + tirer les câbles électriques (avec vérification d'un ami électricien par la suite) + plomberie (vérification d'un plombier par la suite). Je me suis fait une liste des outils à acheter que vous pouvez retrouver ici : Perceuse / Visseuse Scie sabre scie sauteuse Meuleuse (sur secteur) Perforateur (sur secteur) Malaxeur Laser Aspirateur (sur secteur) scie crocodile Je pensais m'orienter vers la marque Makita qui me semble pas mal du tout. Qu'en pensez-vous ? Ai-je oublié quelque chose ? Je pensais également prendre le Malaxeur de chez Einhell. Il y va de soit que je compte également me procurer le matériel qui va avec (mèches, foret, douilles...). Cordialement	Visiblement un ver solitaire ... 7
NON	Bonjour, Je dois couper des tiges filetées pour notre faux plafond. Le problème cest que je dois en faire A peu près 700. Jai testé à la disqueuse mais ça prend beaucoup de temps car il faut faire pas mal de manipulations notamment pour ébarber. Avez-vous des techniques ou des outils pour cela ? Merci	"Bonjour Avec un ami comme celui là, vous n avez pas besoin d'ennemi !!! Etayez en urgence les deux poutrelles explosées , et faites venir un expert !!! On ne perce pas les poutrelles...il existe des accessoires pour fixer les rails...faites appel à un professionnel ! J'espère que votre ""ami"" a une bonne assurance... Poster la question dans la rubrique Maçonnerie. .. 1"
NON	Bonjour, Nous avons installé une douche à l'italienne et nous avons choisi une paroi de douche en verre avec des bandes sérigraphiées. Le problème est que la paroi a été montée à l'envers, c'est-à-dire que le côté sérigraphié a été mis côté intérieur alors qu'il aurait dû être côté extérieur. De ce fait, il y a plein de traces de calcaire qui ne partent pas sur la sérigraphie. J'ai essayé pas mal de produits ménagers mais rien n'y fait. Avez-vous déjà rencontré ce problème? Quels produits me conseillez-vous? Est-il possible d'enlever la sérigraphie? Merci de votre réponse,	Oui faut que tu fasses ton brassage manuellement . Tu dois attribuer une fonction a chaque prise RJ 45 (x : salon = ethernet) , (chambre = tel) Moi l electricien m avait laissé plein de mini cable et j ai fait tout ca seul en essayant ..... 1
